session_key,roi_index,winner,runner_up,winner_dist,runner_up_dist
755252_2025-01-14,89,c45,c33,0.5233,0.7061
755252_2024-11-14,73,c45,c33,0.5261,0.7214
755252_2024-11-14,246,c45,c34,0.5337,0.6074
755252_2025-01-14,476,c45,c33,0.5374,0.8716
755252_2024-12-04,311,c45,c33,0.5384,0.877
755252_2024-12-16,2,c45,c33,0.54,0.6767
755252_2024-11-14,390,c45,c34,0.5409,0.5424
755252_2025-01-07,209,c45,c33,0.541,0.6405
755252_2024-11-19,134,c45,c33,0.5534,0.6893
804670_2025-09-24,55,c45,c33,0.5572,0.9729
755252_2024-12-18,105,c45,c33,0.5598,0.7418
755252_2024-12-16,118,c45,c33,0.561,0.8763
755252_2024-12-18,184,c45,c34,0.5615,0.7578
755252_2024-12-03,12,c45,c34,0.5695,0.826
755252_2024-12-03,272,c45,c34,0.576,0.9189
755252_2025-01-14,396,c45,c34,0.5768,0.7171
755252_2024-11-19,112,c45,c33,0.577,0.6727
755252_2024-12-03,53,c45,c33,0.5798,0.7656
755252_2024-12-03,194,c45,c34,0.5837,0.7568
755252_2024-11-21,81,c45,c34,0.5849,0.7797
755252_2025-01-14,70,c45,c34,0.5876,0.6584
755252_2024-12-20,245,c45,c34,0.5877,0.6492
755252_2024-11-14,134,c45,c34,0.5896,0.7644
755252_2025-01-14,56,c45,c33,0.5923,0.7362
755252_2024-12-03,407,c45,c34,0.5927,0.6104
755252_2024-12-18,96,c45,c34,0.5943,0.7107
755252_2024-11-15,283,c45,c34,0.596,0.8948
755252_2024-12-20,321,c45,c34,0.5969,0.7371
755252_2024-12-18,1,c45,c34,0.5975,0.7105
755252_2024-11-14,162,c45,c33,0.6014,0.8406
755252_2024-11-18,64,c45,c33,0.612,0.6728
755252_2024-12-12,412,c45,c34,0.626,0.9611
755252_2024-11-12,133,c45,c33,0.6284,1.1446
755252_2024-12-03,50,c45,c34,0.6462,0.6915
755252_2025-01-13,28,c45,c33,0.6578,0.7131
755252_2025-01-08,356,c45,c34,0.6599,0.7942
755252_2024-12-09,398,c45,c34,0.6603,0.9544
755252_2024-12-10,81,c45,c33,0.6655,1.4073
755252_2024-11-13,320,c45,c34,0.6714,0.7112
755252_2024-11-22,295,c45,c33,0.6739,1.2629
755252_2025-01-07,409,c45,c34,0.6745,0.9086
755252_2024-11-18,99,c45,c33,0.676,1.1285
755252_2025-01-14,306,c45,c34,0.676,0.8138
755252_2024-12-18,77,c45,c34,0.6912,0.7626
755252_2025-01-13,102,c45,c34,0.6971,0.7533
755252_2024-12-17,1,c45,c33,0.7064,0.8844
755252_2025-01-13,412,c45,c33,0.7109,1.0147
755252_2024-12-06,420,c45,c34,0.7134,0.9414
755252_2024-11-18,328,c45,c34,0.7218,0.9405
755252_2024-12-17,2,c45,c33,0.7218,0.9883
755252_2024-12-03,117,c45,c33,0.7309,1.3352
755252_2024-11-19,83,c45,c34,0.7385,0.8095
755252_2024-11-21,301,c45,c34,0.7416,0.7698
755252_2025-01-08,100,c45,c33,0.7459,0.8535
755252_2024-11-18,387,c45,c33,0.7508,1.1437
755252_2024-11-18,171,c45,c33,0.7538,0.8719
755252_2024-12-04,66,c45,c34,0.7587,0.9133
755252_2024-11-13,5,c45,c33,0.7753,0.9919
755252_2024-12-04,65,c45,c33,0.7762,0.8328
755252_2024-12-05,185,c45,c34,0.7859,1.403
755252_2025-01-07,141,c45,c34,0.7905,0.8719
755252_2024-12-05,86,c45,c34,0.8033,1.1261
755252_2024-11-21,225,c45,c34,0.806,0.8742
804670_2025-09-24,227,c45,c34,0.8191,1.3427
755252_2025-01-14,45,c45,c33,0.8321,0.899
755252_2024-12-12,440,c45,c34,0.8665,1.1673
755252_2024-11-14,4,c45,c33,0.882,1.0395
755252_2024-12-06,99,c45,c34,0.9013,0.9989
755252_2024-11-18,381,c45,c34,0.9125,1.3632
755252_2024-11-15,6,c45,c33,0.9149,1.0023
755252_2024-11-18,289,c45,c34,0.9198,1.0296
755252_2024-11-13,229,c45,c34,0.942,1.0458
755252_2025-01-13,321,c45,c33,0.954,1.0477
755252_2024-11-13,343,c45,c33,0.9955,1.0528
755252_2024-12-11,257,c45,c33,1.0014,1.2661
755252_2025-01-13,205,c45,c33,1.0954,1.3634
804670_2025-09-17,407,c45,c34,1.1755,2.0027
755252_2024-12-06,225,c45,c34,1.1909,1.5361
755252_2024-12-03,107,c45,c34,1.2134,1.2521
755252_2024-12-13,257,c45,c33,113.4247,164.8543
804670_2025-09-26,273,c45,c33,137.1437,182.0209
804670_2025-10-01,157,c45,c44,144.5103,575.3142
804670_2025-09-10,71,c45,c33,145.5234,334.857
755252_2024-12-17,277,c45,c33,154.7958,220.3426
804670_2025-09-25,151,c45,c33,173.0684,276.4959
