session,roi_idx,best_cpos,best_cneg,combo_label,best_dist_norm,best_med_neg,target,noise,skewness,snr,bleaching,sustained
804670_2025-09-27,304,2,5,"(2,5)",0.1806,236.9814453125,186.9075965576172,277.31097412109375,0.0832366794347763,9.362581253051758,1.1669503450393677,1.0545737743377686
804670_2025-09-23,150,2,5,"(2,5)",0.1792,217.5941162109375,171.89875524902345,255.04266357421875,0.19945752620697021,11.16568374633789,1.3774192333221436,0.42414918541908264
804670_2025-09-23,292,2,5,"(2,5)",0.1758,156.5135498046875,124.13141180419923,184.17123413085938,0.09589304029941559,11.123834609985352,0.3944639265537262,0.6169549822807312
804670_2025-09-23,88,2,5,"(2,5)",0.174,153.234619140625,121.79242529296876,180.700927734375,-0.11401219666004181,6.6142778396606445,0.5425481796264648,1.1400132179260254
804670_2025-09-18,296,2,5,"(2,5)",0.1726,85.0732421875,114.34978317260743,169.65843200683594,1.0427056550979614,20.39900016784668,2.933710813522339,0.3954986333847046
804670_2025-09-27,263,2,5,"(2,5)",0.1714,211.013671875,168.23907388305665,249.6128692626953,0.4336010813713074,11.36809253692627,1.290388822555542,0.9131456017494202
804670_2025-09-13,199,2,5,"(2,5)",0.171,86.83255004882812,69.2641392364502,102.76578521728516,-0.1414688229560852,4.338459014892578,2.04850172996521,0.47502511739730835
804670_2025-09-11,240,2,5,"(2,5)",0.1709,77.6922607421875,61.97843228149414,91.95613098144531,0.22759270668029785,7.065336227416992,-0.10553445667028427,1.2128715515136719
804670_2025-09-27,266,2,5,"(2,5)",0.1702,157.02349853515625,125.36148031616212,185.9962615966797,-0.15045978128910065,8.455766677856445,2.8778529167175293,1.8313546180725098
755252_2024-12-10,245,2,5,"(2,5)",0.1702,112.031982421875,89.44890994262695,132.71351623535156,-0.17890295386314392,6.662570476531982,1.0163031816482544,0.7975255250930786
804670_2025-09-27,104,2,5,"(2,5)",0.1701,70.349365234375,56.173209274292,83.3430404663086,0.3878558874130249,8.66080093383789,2.09647274017334,1.0423567295074463
755252_2024-12-19,229,2,5,"(2,5)",0.1695,122.584228515625,97.9556505432129,145.3347930908203,-0.45921918749809265,6.4619903564453125,-0.21229805052280426,0.9666494727134705
804670_2025-09-17,147,2,5,"(2,5)",0.1691,117.8707275390625,94.23460202026368,139.81394958496094,0.8668592572212219,20.81328773498535,2.360435724258423,0.5651749968528748
804670_2025-09-24,160,2,5,"(2,5)",0.1684,182.57861328125,146.07606854248047,216.73007202148438,-0.23098714649677277,5.535218715667725,0.7371880412101746,0.7232489585876465
755252_2024-12-11,212,2,5,"(2,5)",0.1672,150.220703125,120.36304464721681,178.58018493652344,-0.15848742425441742,5.697629928588867,-0.5041795969009399,0.6197718977928162
804670_2025-09-23,208,2,5,"(2,5)",0.1666,160.707275390625,128.852836517334,191.1763153076172,-0.4799480140209198,7.363467693328857,-0.3179416060447693,0.9621117115020752
804670_2025-09-24,218,2,5,"(2,5)",0.1661,205.995361328125,165.27175021362305,245.21031188964844,-0.02207864634692669,7.636674880981445,-0.45858749747276306,1.0180915594100952
804670_2025-09-23,289,2,5,"(2,5)",0.1658,186.73583984375,149.86744195556642,222.35525512695312,0.30463990569114685,9.883319854736328,0.2210211604833603,0.8001755475997925
755252_2024-12-11,101,2,5,"(2,5)",0.1656,202.288330078125,162.39640014648438,240.9442138671875,0.07636969536542892,13.152643203735352,2.274726629257202,0.7016705870628357
804670_2025-09-20,212,2,5,"(2,5)",0.1651,152.729248046875,122.68129776000977,182.0197296142578,-0.5422545671463013,6.044797897338867,0.20133580267429352,0.8580267429351807
804670_2025-09-23,140,2,4,"(2,4)",0.1649,77.20156860351562,102.1996311645508,151.63150024414062,-0.4045144319534302,15.51728630065918,0.7965485453605652,0.9143635630607605
804670_2025-09-12,236,2,5,"(2,5)",0.1646,122.8974609375,98.77146246337891,146.54519653320312,0.3689514398574829,11.704707145690918,-0.02963278815150261,0.9416114091873169
755252_2024-12-12,215,2,5,"(2,5)",0.1634,141.49560546875,113.89094360351564,168.9776611328125,-0.3229982256889343,5.4226861000061035,-0.2693888545036316,0.7335178852081299
804670_2025-09-19,140,2,5,"(2,5)",0.1633,74.294921875,59.80252587890625,88.727783203125,-0.15098261833190918,11.14700698852539,2.1227409839630127,0.8825333714485168
804670_2025-09-10,252,2,5,"(2,5)",0.1609,80.81884765625,65.24375227355958,96.80081939697266,-0.1586599200963974,8.113454818725586,0.4429731070995331,0.7611535787582397
804670_2025-09-23,95,2,5,"(2,5)",0.1607,181.86181640625,146.84351281738282,217.86871337890625,0.05516424402594566,6.987011909484863,-0.3225826621055603,1.273725986480713
755252_2024-12-16,197,2,5,"(2,5)",0.1605,116.563720703125,94.1471432800293,139.68418884277344,0.2662109434604645,6.222590923309326,0.6954250335693359,0.8753978610038757
804670_2025-09-23,141,2,5,"(2,5)",0.1598,146.085693359375,118.08247366333009,175.19654846191406,1.1616532802581787,9.953789710998535,2.409856081008911,0.33985069394111633
755252_2024-12-16,484,2,5,"(2,5)",0.1591,93.025390625,75.2560553894043,111.65586853027344,-0.03403397649526596,4.474082946777344,2.6165695190429688,0.7104213237762451
804670_2025-09-27,374,2,5,"(2,5)",0.1577,283.6875,229.9024119873047,341.10150146484375,-0.029762765392661095,8.795954704284668,1.5978065729141235,1.3765658140182495
804670_2025-09-18,230,2,5,"(2,5)",0.1577,92.82757568359375,75.22989181518555,111.61705017089844,-0.16544215381145477,4.161539077758789,-0.6055689454078674,1.1426079273223877
804670_2025-09-19,224,2,5,"(2,5)",0.1576,81.0399169921875,65.67831031799317,97.44556427001953,-0.07612288743257523,4.810004234313965,0.004568411502987146,0.8449852466583252
804670_2025-09-12,90,2,5,"(2,5)",0.1573,136.83056640625,110.93826495361328,164.59683227539062,-0.1133977398276329,7.897485733032227,0.31975939869880676,0.601428210735321
804670_2025-09-23,426,2,4,"(2,4)",0.1565,198.522216796875,161.1055918273926,239.02906799316406,0.21671701967716217,10.995116233825684,1.7673499584197998,0.6494449377059937
804670_2025-09-17,129,2,5,"(2,5)",0.1564,127.39111328125,103.39615188598634,153.40675354003906,1.1010159254074097,15.737524032592773,0.7467236518859863,0.5797763466835022
804670_2025-09-18,239,2,5,"(2,5)",0.1563,94.87179565429688,77.01423420715332,114.26444244384766,0.406664103269577,5.336512088775635,1.5544027090072632,1.1809927225112915
804670_2025-09-10,270,2,5,"(2,5)",0.1556,176.928955078125,143.7376271057129,213.2605743408203,-0.0969342514872551,10.715662002563477,0.7139964699745178,0.8854091763496399
804670_2025-09-11,38,2,5,"(2,5)",0.1555,183.7724609375,149.32486660766602,221.5502471923828,0.557755708694458,9.934718132019043,2.809201955795288,0.7678162455558777
804670_2025-09-10,121,2,5,"(2,5)",0.1555,102.9158935546875,83.62252159118653,124.06902313232422,-0.11324427276849747,10.50557804107666,-0.1322488933801651,0.8898980021476746
755252_2024-12-10,259,2,5,"(2,5)",0.1552,82.51531982421875,67.06829133605957,99.50785064697266,-0.1532611846923828,5.647590160369873,-0.4687111973762512,0.9290921092033386
804670_2025-09-20,236,2,5,"(2,5)",0.155,102.51959228515625,83.35251432800294,123.66841888427734,0.3062709867954254,6.329596996307373,1.085899829864502,0.7818735837936401
755252_2024-12-16,102,2,5,"(2,5)",0.1547,132.1455078125,107.47752548217774,159.4622039794922,0.22378619015216827,10.29830265045166,1.1447340250015259,0.7013399004936218
804670_2025-09-26,220,2,5,"(2,5)",0.1543,309.458740234375,251.8132329711914,373.6101379394531,-0.09082897752523422,10.724635124206543,1.0198782682418823,0.8723383545875549
804670_2025-09-17,85,2,5,"(2,5)",0.1539,109.9317626953125,89.5007434387207,132.79042053222656,-0.12315860390663147,6.3824543952941895,0.7765755653381348,0.9072191119194031
804670_2025-09-19,225,2,5,"(2,5)",0.1538,151.751220703125,123.5538282775879,183.3142852783203,0.13882604241371155,7.271716117858887,1.272391676902771,0.9095538854598999
804670_2025-09-24,188,2,5,"(2,5)",0.1538,149.24786376953125,121.51161938476564,180.2843017578125,-0.22141343355178833,6.63363790512085,-0.5580024719238281,0.8022652864456177
804670_2025-09-18,249,2,5,"(2,5)",0.1533,128.648681640625,104.81131945800782,155.50640869140625,0.15185388922691345,5.918433666229248,0.5439701676368713,1.6271424293518066
755252_2024-11-22,463,2,4,"(2,4)",0.1529,118.630859375,153.44661685180665,227.6656036376953,0.5278446674346924,15.561636924743652,0.3834714889526367,1.3110414743423462
804670_2025-09-23,191,2,5,"(2,5)",0.1526,109.873779296875,89.59010479736328,132.92300415039062,0.19713763892650604,6.447534084320068,0.8630850911140442,0.7618826627731323
804670_2025-09-26,275,2,5,"(2,5)",0.1525,175.01904296875,142.7334662475586,211.77072143554688,0.25877663493156433,15.102566719055176,2.718080520629883,0.7192851901054382
804670_2025-09-19,193,2,5,"(2,5)",0.152,110.6466064453125,90.28021020507813,133.9468994140625,0.16517330706119537,6.521048545837402,0.37847796082496643,0.7452231049537659
804670_2025-09-24,101,2,5,"(2,5)",0.1514,122.69305419921875,100.18718539428711,148.6456756591797,0.43541282415390015,9.177576065063477,0.09348751604557037,0.6557378768920898
755252_2024-12-17,107,2,5,"(2,5)",0.1511,140.769287109375,114.99536730957033,170.61627197265625,0.1504942625761032,8.844923973083496,1.1281312704086304,0.9296765327453613
755252_2024-12-13,106,2,5,"(2,5)",0.151,161.7496337890625,132.15194598388672,196.07113647460938,0.3330211639404297,12.8781099319458,1.2356207370758057,1.2365421056747437
755252_2024-12-17,215,2,5,"(2,5)",0.1509,170.257080078125,139.10842282104494,206.39231872558594,-0.24190352857112885,5.433586120605469,-0.4305475652217865,1.1128566265106201
755252_2024-12-19,52,2,5,"(2,5)",0.1499,158.86376953125,129.95639633178712,192.8136444091797,0.3647512197494507,9.71869945526123,2.895667791366577,0.5935079455375671
755252_2024-12-12,212,2,5,"(2,5)",0.1497,178.132080078125,145.76300039672853,216.2655792236328,-0.07897789031267166,6.598459243774414,0.4550342261791229,0.9390177726745605
755252_2024-12-16,487,2,5,"(2,5)",0.149,66.52685546875,54.482727676391605,80.83490753173828,0.11556881666183472,5.831812858581543,-0.28415489196777344,1.2533011436462402
804670_2025-09-24,226,2,5,"(2,5)",0.1489,108.9202880859375,89.20762707519532,132.35552978515625,0.16707205772399902,6.479933738708496,0.5679707527160645,1.3414720296859741
804670_2025-09-10,4,2,5,"(2,5)",0.1486,276.89208984375,226.87484216308596,336.60955810546875,-0.9065417051315308,5.49067497253418,0.3988407254219055,0.6611711978912354
804670_2025-09-18,91,2,5,"(2,5)",0.1483,197.4266357421875,161.81918685913087,240.0878143310547,0.27547305822372437,6.940246105194092,1.2294055223464966,1.3631190061569214
804670_2025-09-17,3,2,5,"(2,5)",0.1476,194.6715087890625,159.70378372192383,236.94923400878906,-0.1183118224143982,4.090423583984375,3.211545467376709,0.610590398311615
804670_2025-09-20,88,2,5,"(2,5)",0.1474,139.760498046875,114.68656719970704,170.15811157226562,0.27098995447158813,6.3862714767456055,1.010980248451233,1.2449690103530884
804670_2025-09-18,231,2,5,"(2,5)",0.1474,191.630126953125,157.24024255371094,233.29412841796875,0.029005475342273712,5.736814022064209,1.0561591386795044,1.3963102102279663
755252_2024-11-13,180,2,5,"(2,5)",0.1471,77.84970092773438,63.90134700012207,94.80912017822266,-0.1979982703924179,5.814289093017578,1.3604604005813599,0.8389822840690613
804670_2025-09-13,143,2,5,"(2,5)",0.1469,96.688232421875,79.38311753845215,117.77910614013672,1.2682127952575684,10.402886390686035,0.9924830794334412,0.5306851267814636
804670_2025-09-23,238,2,5,"(2,5)",0.1468,125.856689453125,103.35126037597657,153.34014892578125,0.29964444041252136,7.3268632888793945,-0.14540383219718933,1.2021324634552002
755252_2024-12-10,336,2,5,"(2,5)",0.1468,73.52911376953125,60.37705493164063,89.5802001953125,0.14910566806793213,6.663751602172852,-0.00101785350125283,1.0913677215576172
804670_2025-09-13,357,2,5,"(2,5)",0.1467,207.162353515625,170.12368426513672,252.40902709960938,-0.03423342481255531,6.992893695831299,0.6317546963691711,1.3351476192474365
804670_2025-09-27,201,2,5,"(2,5)",0.1462,106.9451904296875,87.88717904663086,130.3964080810547,0.2634149491786957,7.954849720001221,2.112283706665039,1.0740708112716675
804670_2025-09-27,90,2,5,"(2,5)",0.1461,111.36474609375,91.5262504272461,135.79562377929688,0.3244398832321167,7.83851957321167,1.9402518272399902,1.2925453186035156
804670_2025-09-18,82,2,5,"(2,5)",0.1459,229.488037109375,188.6526781616211,279.9001159667969,1.8144350051879883,9.727255821228027,0.18294335901737213,0.6495619416236877
804670_2025-09-23,235,2,5,"(2,5)",0.1449,173.82373046875,143.06842993164062,212.2677001953125,-0.3130994737148285,11.079272270202637,-0.909930408000946,1.0338293313980103
804670_2025-09-23,87,2,5,"(2,5)",0.1436,164.441162109375,135.56388586425783,201.13336181640625,0.17099259793758392,6.6624321937561035,0.7424739003181458,1.5492762327194214
804670_2025-09-20,89,2,5,"(2,5)",0.1432,126.74365234375,104.53838113403322,155.10145568847656,-0.135332390666008,6.190952301025391,0.9289430379867554,0.971368670463562
804670_2025-09-17,221,2,5,"(2,5)",0.1425,281.4140625,232.3030227661133,344.6632385253906,0.4902837574481964,7.753260612487793,-0.20102494955062866,0.8798075318336487
755252_2024-12-05,236,2,5,"(2,5)",0.1422,160.857421875,132.8324765930176,197.08082580566406,0.10168001800775528,8.819365501403809,0.8091703057289124,0.9258531928062439
804670_2025-09-13,249,2,5,"(2,5)",0.1414,125.9560546875,104.11052853393555,154.46665954589844,0.3178022503852844,8.196944236755371,0.2579582929611206,1.5460385084152222
804670_2025-09-26,106,2,5,"(2,5)",0.1411,65.88348388671875,54.481020462036135,80.8323745727539,-0.5865584015846252,4.4485039710998535,1.2242964506149292,0.4630676805973053
755252_2024-12-20,488,2,5,"(2,5)",0.1409,173.943115234375,143.8705841369629,213.4578399658203,0.024755025282502174,7.167482852935791,-0.28231897950172424,1.678486943244934
804670_2025-09-17,100,2,5,"(2,5)",0.1409,105.06146240234375,86.89803344726563,128.9288330078125,0.5779043436050415,8.156217575073242,0.7680362462997437,0.8841627836227417
804670_2025-09-13,228,2,5,"(2,5)",0.1407,81.2384033203125,67.21192359924316,99.72095489501953,0.1285555064678192,5.395995140075684,-0.13857033848762512,0.9512031078338623
804670_2025-09-24,202,2,5,"(2,5)",0.1402,150.455810546875,124.55189047241211,184.7950897216797,-0.3617285490036011,6.732910633087158,0.09711409360170364,0.9156174063682556
804670_2025-09-24,269,2,4,"(2,4)",0.1399,129.856201171875,163.8765241394043,243.14024353027344,0.39631664752960205,12.71986198425293,2.5532052516937256,0.7334126830101013
